Round,C ratio per steps,Rewards,Aggregated C ratio,Number of connections,Pair actions
1,"[0.51, 0.4, 0.11, 0.11, 0.06, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[205, 179, 110, 110, 99, 92, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88]","[0.51, 0.45, 0.34, 0.28, 0.24, 0.2, 0.17, 0.15, 0.14, 0.12, 0.11, 0.1, 0.9, 0.9, 0.8, 0.8, 0.7, 0.7, 0.6, 0.6]",44,"[{'CC': 9, 'CD': 12, 'DC': 15, 'DD': 8}, {'CC': 7, 'CD': 10, 'DC': 11, 'DD': 16}, {'CC': 4, 'CD': 1, 'DC': 1, 'DD': 38}, {'CC': 4, 'CD': 1, 'DC': 1, 'DD': 38}, {'CC': 2, 'CD': 1, 'DC': 0, 'DD': 41}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 43}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}]"
2,"[0.45, 0.45, 0.2, 0.17, 0.16, 0.16, 0.1, 0.09, 0.09, 0.09, 0.09, 0.09, 0.07, 0.07, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","[191, 179, 121, 117, 114, 116, 105, 102, 102, 102, 102, 102, 98, 98, 90, 90, 90, 90, 90, 90]","[0.45, 0.45, 0.37, 0.32, 0.29, 0.27, 0.24, 0.23, 0.21, 0.2, 0.19, 0.18, 0.17, 0.17, 0.16, 0.15, 0.14, 0.13, 0.13, 0.12]",43,"[{'CC': 6, 'CD': 17, 'DC': 10, 'DD': 10}, {'CC': 12, 'CD': 6, 'DC': 9, 'DD': 16}, {'CC': 8, 'CD': 0, 'DC': 1, 'DD': 34}, {'CC': 7, 'CD': 1, 'DC': 0, 'DD': 35}, {'CC': 7, 'CD': 0, 'DC': 0, 'DD': 36}, {'CC': 6, 'CD': 2, 'DC': 0, 'DD': 35}, {'CC': 4, 'CD': 1, 'DC': 0, 'DD': 38}, {'CC': 4, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 4, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 4, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 4, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 4, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 3, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 3, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 42}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 42}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 42}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 42}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 42}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 42}]"
3,"[0.43, 0.42, 0.17, 0.14, 0.12, 0.11, 0.11, 0.11, 0.11, 0.11, 0.05, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[186, 181, 121, 112, 111, 108, 108, 108, 108, 108, 96, 92, 88, 88, 88, 88, 88, 88, 88, 88]","[0.43, 0.43, 0.34, 0.29, 0.26, 0.23, 0.22, 0.2, 0.19, 0.19, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.11, 0.1, 0.1]",44,"[{'CC': 8, 'CD': 14, 'DC': 8, 'DD': 14}, {'CC': 9, 'CD': 7, 'DC': 12, 'DD': 16}, {'CC': 6, 'CD': 2, 'DC': 1, 'DD': 35}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 38}, {'CC': 5, 'CD': 1, 'DC': 0, 'DD': 38}, {'CC': 5, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 5, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 5, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 5, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 5, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 2, 'CD': 0, 'DC': 0, 'DD': 42}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 43}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 44}]"
4,"[0.4, 0.29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[163, 148, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82]","[0.4, 0.35, 0.23, 0.17, 0.14, 0.12, 0.1, 0.09, 0.08, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03]",41,"[{'CC': 9, 'CD': 7, 'DC': 8, 'DD': 17}, {'CC': 3, 'CD': 7, 'DC': 11, 'DD': 20}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 41}]"
5,"[0.39, 0.36, 0.02, 0.02, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[186, 179, 96, 96, 96, 96, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92]","[0.39, 0.38, 0.26, 0.2, 0.16, 0.14, 0.12, 0.1, 0.09, 0.08, 0.08, 0.07, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04]",46,"[{'CC': 7, 'CD': 10, 'DC': 12, 'DD': 17}, {'CC': 6, 'CD': 8, 'DC': 13, 'DD': 19}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 45}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 45}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 45}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 45}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 46}]"
6,"[0.41, 0.35, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[205, 193, 118, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[0.41, 0.38, 0.28, 0.21, 0.17, 0.14, 0.12, 0.1, 0.09, 0.08, 0.08, 0.07, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04]",50,"[{'CC': 9, 'CD': 12, 'DC': 11, 'DD': 18}, {'CC': 6, 'CD': 10, 'DC': 13, 'DD': 21}, {'CC': 3, 'CD': 2, 'DC': 0, 'DD': 45}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 50}]"
7,"[0.44, 0.49, 0.16, 0.15, 0.11, 0.12, 0.1, 0.09, 0.05, 0.04, 0.02, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[213, 226, 136, 135, 125, 128, 122, 121, 113, 110, 106, 105, 102, 102, 102, 102, 102, 102, 102, 102]","[0.44, 0.47, 0.36, 0.31, 0.27, 0.24, 0.22, 0.21, 0.19, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.1, 0.09, 0.09]",51,"[{'CC': 12, 'CD': 13, 'DC': 8, 'DD': 18}, {'CC': 13, 'CD': 13, 'DC': 11, 'DD': 14}, {'CC': 7, 'CD': 0, 'DC': 2, 'DD': 42}, {'CC': 6, 'CD': 2, 'DC': 1, 'DD': 42}, {'CC': 5, 'CD': 0, 'DC': 1, 'DD': 45}, {'CC': 5, 'CD': 1, 'DC': 1, 'DD': 44}, {'CC': 5, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 4, 'CD': 0, 'DC': 1, 'DD': 46}, {'CC': 2, 'CD': 1, 'DC': 0, 'DD': 48}, {'CC': 2, 'CD': 0, 'DC': 0, 'DD': 49}, {'CC': 1, 'CD': 0, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 1, 'DC': 0, 'DD': 50}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}, {'CC': 0, 'CD': 0, 'DC': 0, 'DD': 51}]"
8,"[0.47, 0.45, 0.35, 0.35, 0.37, 0.21, 0.22, 0.2, 0.22, 0.16, 0.17, 0.17, 0.16, 0.16, 0.16, 0.16, 0.17, 0.12, 0.08, 0.06]","[214, 204, 172, 174, 178, 141, 146, 140, 146, 130, 133, 133, 130, 130, 130, 130, 133, 122, 114, 110]","[0.47, 0.46, 0.42, 0.4, 0.4, 0.37, 0.35, 0.33, 0.32, 0.3, 0.29, 0.28, 0.27, 0.26, 0.26, 0.25, 0.25, 0.24, 0.23, 0.22]",49,"[{'CC': 11, 'CD': 9, 'DC': 15, 'DD': 14}, {'CC': 13, 'CD': 7, 'DC': 11, 'DD': 18}, {'CC': 14, 'CD': 2, 'DC': 4, 'DD': 29}, {'CC': 13, 'CD': 3, 'DC': 5, 'DD': 28}, {'CC': 14, 'CD': 3, 'DC': 5, 'DD': 27}, {'CC': 10, 'CD': 0, 'DC': 1, 'DD': 38}, {'CC': 9, 'CD': 1, 'DC': 3, 'DD': 36}, {'CC': 9, 'CD': 0, 'DC': 2, 'DD': 38}, {'CC': 9, 'CD': 0, 'DC': 4, 'DD': 36}, {'CC': 8, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 8, 'CD': 0, 'DC': 1, 'DD': 40}, {'CC': 8, 'CD': 1, 'DC': 0, 'DD': 40}, {'CC': 8, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 8, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 8, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 8, 'CD': 0, 'DC': 0, 'DD': 41}, {'CC': 8, 'CD': 0, 'DC': 1, 'DD': 40}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 43}, {'CC': 4, 'CD': 0, 'DC': 0, 'DD': 45}, {'CC': 3, 'CD': 0, 'DC': 0, 'DD': 46}]"
9,"[0.49, 0.53, 0.3, 0.3, 0.25, 0.27, 0.24, 0.24, 0.24, 0.18, 0.19, 0.21, 0.21, 0.21, 0.21, 0.21, 0.2, 0.21, 0.21, 0.17]","[251, 259, 184, 186, 170, 176, 167, 169, 171, 152, 155, 159, 162, 162, 162, 159, 156, 162, 159, 151]","[0.49, 0.51, 0.44, 0.41, 0.38, 0.36, 0.34, 0.33, 0.32, 0.3, 0.29, 0.29, 0.28, 0.28, 0.27, 0.27, 0.26, 0.26, 0.26, 0.25]",56,"[{'CC': 13, 'CD': 10, 'DC': 19, 'DD': 14}, {'CC': 15, 'CD': 14, 'DC': 15, 'DD': 12}, {'CC': 15, 'CD': 3, 'DC': 1, 'DD': 37}, {'CC': 14, 'CD': 2, 'DC': 4, 'DD': 36}, {'CC': 13, 'CD': 0, 'DC': 2, 'DD': 41}, {'CC': 13, 'CD': 3, 'DC': 1, 'DD': 39}, {'CC': 13, 'CD': 0, 'DC': 1, 'DD': 42}, {'CC': 12, 'CD': 2, 'DC': 1, 'DD': 41}, {'CC': 11, 'CD': 3, 'DC': 2, 'DD': 40}, {'CC': 10, 'CD': 0, 'DC': 0, 'DD': 46}, {'CC': 10, 'CD': 1, 'DC': 0, 'DD': 45}, {'CC': 11, 'CD': 0, 'DC': 1, 'DD': 44}, {'CC': 11, 'CD': 1, 'DC': 1, 'DD': 43}, {'CC': 11, 'CD': 2, 'DC': 0, 'DD': 43}, {'CC': 11, 'CD': 2, 'DC': 0, 'DD': 43}, {'CC': 11, 'CD': 1, 'DC': 0, 'DD': 44}, {'CC': 11, 'CD': 0, 'DC': 0, 'DD': 45}, {'CC': 11, 'CD': 0, 'DC': 2, 'DD': 43}, {'CC': 11, 'CD': 1, 'DC': 0, 'DD': 44}, {'CC': 9, 'CD': 0, 'DC': 1, 'DD': 46}]"
10,"[0.51, 0.43, 0.16, 0.17, 0.14, 0.14, 0.15, 0.16, 0.16, 0.15, 0.16, 0.15, 0.16, 0.15, 0.13, 0.13, 0.13, 0.13, 0.13, 0.14]","[205, 194, 123, 126, 119, 119, 120, 123, 123, 120, 123, 120, 123, 120, 116, 116, 116, 116, 116, 119]","[0.51, 0.47, 0.37, 0.32, 0.28, 0.26, 0.25, 0.24, 0.23, 0.22, 0.21, 0.21, 0.21, 0.2, 0.2, 0.19, 0.19, 0.19, 0.18, 0.18]",46,"[{'CC': 14, 'CD': 11, 'DC': 8, 'DD': 13}, {'CC': 9, 'CD': 7, 'DC': 15, 'DD': 15}, {'CC': 7, 'CD': 1, 'DC': 0, 'DD': 38}, {'CC': 7, 'CD': 1, 'DC': 1, 'DD': 37}, {'CC': 6, 'CD': 1, 'DC': 0, 'DD': 39}, {'CC': 6, 'CD': 0, 'DC': 1, 'DD': 39}, {'CC': 7, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 7, 'CD': 1, 'DC': 0, 'DD': 38}, {'CC': 7, 'CD': 0, 'DC': 1, 'DD': 38}, {'CC': 7, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 7, 'CD': 0, 'DC': 1, 'DD': 38}, {'CC': 7, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 7, 'CD': 0, 'DC': 1, 'DD': 38}, {'CC': 7, 'CD': 0, 'DC': 0, 'DD': 39}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 6, 'CD': 0, 'DC': 0, 'DD': 40}, {'CC': 6, 'CD': 1, 'DC': 0, 'DD': 39}]"
