,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.54,0.48,0.53,0.56,0.58,0.6,0.63,0.66,0.69,0.71,0.73,0.74,0.76,0.77,0.78,0.79,0.8,0.81,0.81,0.82
1,0.37,0.31,0.35,0.38,0.43,0.46,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.62,0.64,0.65,0.66,0.68,0.69,0.7
2,0.32,0.31,0.32,0.35,0.37,0.4,0.43,0.46,0.49,0.51,0.54,0.56,0.58,0.6,0.62,0.63,0.65,0.66,0.68,0.69
3,0.22,0.24,0.27,0.3,0.34,0.37,0.4,0.42,0.44,0.46,0.49,0.51,0.52,0.54,0.55,0.56,0.58,0.59,0.6,0.61
4,0.38,0.33,0.35,0.38,0.41,0.44,0.47,0.51,0.54,0.57,0.59,0.62,0.64,0.66,0.68,0.7,0.71,0.73,0.74,0.76
5,0.53,0.42,0.47,0.46,0.49,0.51,0.54,0.57,0.6,0.63,0.66,0.68,0.7,0.72,0.74,0.75,0.76,0.77,0.78,0.79
6,0.63,0.55,0.62,0.64,0.67,0.7,0.73,0.74,0.77,0.79,0.81,0.82,0.83,0.84,0.86,0.86,0.87,0.88,0.89,0.89
7,0.6,0.52,0.58,0.62,0.66,0.69,0.71,0.74,0.75,0.77,0.78,0.8,0.81,0.81,0.82,0.83,0.83,0.84,0.85,0.85
8,0.49,0.45,0.46,0.5,0.54,0.57,0.6,0.62,0.64,0.66,0.68,0.69,0.7,0.72,0.73,0.74,0.75,0.76,0.77,0.78
9,0.42,0.36,0.43,0.46,0.5,0.54,0.56,0.59,0.61,0.63,0.65,0.67,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76
0,0.44,0.39,0.46,0.47,0.52,0.54,0.56,0.59,0.61,0.63,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74
1,0.4,0.29,0.32,0.32,0.35,0.37,0.39,0.4,0.42,0.43,0.45,0.47,0.49,0.5,0.51,0.52,0.54,0.55,0.56,0.57
2,0.36,0.3,0.33,0.36,0.37,0.39,0.42,0.44,0.45,0.48,0.49,0.52,0.53,0.55,0.57,0.59,0.6,0.62,0.63,0.64
3,0.31,0.24,0.27,0.27,0.29,0.32,0.34,0.37,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.57,0.59,0.61
4,0.4,0.35,0.39,0.4,0.43,0.45,0.48,0.51,0.54,0.57,0.59,0.62,0.64,0.65,0.67,0.69,0.7,0.72,0.73,0.75
5,0.5,0.45,0.51,0.53,0.58,0.6,0.63,0.65,0.67,0.68,0.7,0.72,0.73,0.74,0.75,0.77,0.78,0.79,0.8,0.81
6,0.49,0.42,0.5,0.51,0.55,0.59,0.62,0.65,0.67,0.7,0.72,0.74,0.76,0.77,0.79,0.8,0.81,0.82,0.83,0.84
7,0.59,0.51,0.57,0.61,0.64,0.67,0.69,0.72,0.73,0.75,0.76,0.77,0.78,0.79,0.79,0.8,0.81,0.82,0.82,0.83
8,0.5,0.48,0.52,0.53,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.73,0.74,0.75,0.76,0.77,0.78
9,0.47,0.39,0.43,0.43,0.46,0.49,0.52,0.55,0.57,0.6,0.62,0.63,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72
0,0.49,0.41,0.46,0.48,0.51,0.52,0.54,0.56,0.58,0.6,0.61,0.63,0.64,0.66,0.67,0.68,0.69,0.7,0.7,0.71
1,0.43,0.4,0.45,0.47,0.49,0.51,0.53,0.56,0.58,0.6,0.61,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71
2,0.34,0.32,0.34,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.48,0.5,0.51,0.52,0.54,0.55,0.56,0.58,0.59,0.6
3,0.4,0.36,0.4,0.42,0.45,0.47,0.49,0.52,0.53,0.55,0.57,0.59,0.61,0.63,0.64,0.66,0.67,0.68,0.69,0.7
4,0.35,0.3,0.34,0.35,0.39,0.41,0.44,0.46,0.49,0.51,0.52,0.54,0.56,0.57,0.59,0.61,0.62,0.64,0.65,0.67
5,0.6,0.48,0.53,0.55,0.59,0.61,0.64,0.67,0.69,0.71,0.73,0.75,0.76,0.78,0.79,0.81,0.82,0.83,0.84,0.84
6,0.6,0.58,0.64,0.67,0.7,0.73,0.76,0.78,0.8,0.81,0.83,0.84,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.9
7,0.54,0.43,0.49,0.51,0.54,0.57,0.59,0.62,0.64,0.67,0.69,0.7,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79
8,0.38,0.37,0.42,0.45,0.5,0.53,0.56,0.59,0.62,0.64,0.66,0.67,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76
9,0.52,0.49,0.51,0.54,0.56,0.59,0.61,0.64,0.66,0.68,0.69,0.7,0.72,0.73,0.74,0.76,0.77,0.78,0.78,0.79
