,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.54,0.42,0.63,0.66,0.68,0.7,0.81,0.87,0.87,0.9,0.92,0.94,0.91,0.95,0.9,0.95,0.96,0.96,0.92,0.92
1,0.37,0.26,0.42,0.46,0.65,0.6,0.65,0.68,0.7,0.71,0.76,0.77,0.84,0.83,0.82,0.89,0.88,0.92,0.91,0.94
2,0.32,0.29,0.35,0.43,0.44,0.55,0.6,0.71,0.69,0.75,0.76,0.8,0.84,0.83,0.9,0.89,0.9,0.9,0.89,0.91
3,0.22,0.26,0.33,0.4,0.51,0.51,0.57,0.59,0.58,0.64,0.73,0.76,0.71,0.72,0.73,0.74,0.78,0.76,0.83,0.81
4,0.38,0.27,0.39,0.48,0.5,0.63,0.63,0.77,0.76,0.84,0.83,0.89,0.91,0.9,0.98,0.96,0.98,0.98,1.0,1.0
5,0.53,0.31,0.57,0.44,0.58,0.62,0.75,0.76,0.88,0.86,0.94,0.93,0.93,0.96,0.96,0.93,0.96,0.97,0.97,0.94
6,0.63,0.47,0.77,0.7,0.81,0.83,0.88,0.86,0.97,0.98,0.99,0.98,0.99,0.98,1.0,1.0,1.0,1.0,0.99,0.98
7,0.6,0.43,0.71,0.73,0.8,0.84,0.85,0.92,0.91,0.92,0.9,0.94,0.94,0.92,0.92,0.91,0.95,0.97,0.95,0.97
8,0.49,0.4,0.49,0.6,0.7,0.75,0.75,0.8,0.81,0.84,0.83,0.82,0.85,0.9,0.89,0.89,0.91,0.89,0.95,0.93
9,0.42,0.3,0.58,0.53,0.67,0.73,0.7,0.74,0.83,0.83,0.85,0.85,0.87,0.88,0.91,0.87,0.91,0.92,0.93,0.97
0,0.44,0.35,0.58,0.51,0.7,0.63,0.73,0.74,0.81,0.8,0.81,0.81,0.81,0.81,0.82,0.88,0.91,0.9,0.91,0.92
1,0.4,0.17,0.4,0.32,0.48,0.44,0.5,0.5,0.54,0.6,0.62,0.65,0.73,0.67,0.66,0.69,0.73,0.74,0.78,0.83
2,0.36,0.24,0.39,0.45,0.43,0.49,0.59,0.53,0.59,0.69,0.68,0.74,0.73,0.83,0.84,0.83,0.84,0.85,0.86,0.86
3,0.31,0.17,0.32,0.28,0.37,0.47,0.45,0.61,0.6,0.66,0.64,0.69,0.68,0.81,0.79,0.82,0.82,0.87,0.91,0.89
4,0.4,0.29,0.47,0.43,0.55,0.56,0.66,0.72,0.78,0.84,0.84,0.87,0.86,0.86,0.91,0.96,0.97,0.96,0.98,0.99
5,0.5,0.4,0.62,0.58,0.78,0.72,0.78,0.79,0.83,0.82,0.85,0.9,0.92,0.92,0.9,0.94,0.92,0.99,0.97,0.97
6,0.49,0.36,0.65,0.54,0.72,0.77,0.83,0.84,0.86,0.93,0.93,0.97,0.97,0.98,1.0,1.0,0.99,0.98,0.97,0.97
7,0.59,0.43,0.69,0.71,0.76,0.83,0.84,0.88,0.88,0.86,0.92,0.87,0.88,0.88,0.88,0.92,0.94,0.93,0.97,0.93
8,0.5,0.46,0.59,0.59,0.59,0.65,0.67,0.78,0.76,0.83,0.89,0.9,0.9,0.9,0.9,0.93,0.95,0.92,0.94,0.95
9,0.47,0.31,0.49,0.45,0.59,0.62,0.72,0.73,0.76,0.82,0.79,0.81,0.83,0.8,0.84,0.84,0.87,0.89,0.91,0.9
0,0.49,0.33,0.56,0.54,0.62,0.6,0.66,0.7,0.7,0.77,0.77,0.82,0.8,0.83,0.84,0.82,0.84,0.84,0.84,0.88
1,0.43,0.36,0.57,0.5,0.59,0.62,0.65,0.77,0.76,0.77,0.74,0.77,0.79,0.8,0.8,0.8,0.87,0.86,0.88,0.9
2,0.34,0.3,0.38,0.4,0.44,0.5,0.54,0.57,0.57,0.65,0.62,0.64,0.73,0.67,0.7,0.74,0.8,0.81,0.81,0.85
3,0.4,0.33,0.48,0.49,0.54,0.61,0.61,0.7,0.65,0.71,0.8,0.79,0.84,0.84,0.87,0.87,0.89,0.88,0.88,0.88
4,0.35,0.25,0.42,0.39,0.55,0.51,0.58,0.64,0.67,0.69,0.66,0.75,0.76,0.8,0.83,0.85,0.88,0.88,0.92,0.92
5,0.6,0.35,0.65,0.6,0.75,0.69,0.84,0.85,0.87,0.92,0.91,0.96,0.92,0.98,1.0,1.0,1.0,1.0,1.0,0.99
6,0.6,0.57,0.74,0.76,0.85,0.86,0.92,0.94,0.96,0.95,0.97,0.97,0.98,0.98,0.99,0.98,0.99,0.98,0.99,0.97
7,0.54,0.33,0.6,0.55,0.7,0.67,0.74,0.82,0.84,0.86,0.91,0.87,0.91,0.91,0.91,0.89,0.88,0.92,0.95,0.96
8,0.38,0.36,0.51,0.55,0.69,0.7,0.71,0.79,0.85,0.81,0.88,0.84,0.85,0.85,0.94,0.86,0.9,0.92,0.89,0.92
9,0.52,0.46,0.55,0.61,0.64,0.73,0.78,0.82,0.83,0.85,0.82,0.83,0.89,0.92,0.91,0.95,0.92,0.93,0.91,0.94
