,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"{'CC': 15, 'CD': 9, 'DC': 18, 'DD': 11}","{'CC': 20, 'CD': 2, 'DC': 2, 'DD': 29}","{'CC': 27, 'CD': 9, 'DC': 4, 'DD': 13}","{'CC': 31, 'CD': 4, 'DC': 4, 'DD': 14}","{'CC': 32, 'CD': 6, 'DC': 2, 'DD': 13}","{'CC': 34, 'CD': 4, 'DC': 2, 'DD': 13}","{'CC': 41, 'CD': 0, 'DC': 4, 'DD': 8}","{'CC': 44, 'CD': 1, 'DC': 3, 'DD': 5}","{'CC': 44, 'CD': 2, 'DC': 2, 'DD': 5}","{'CC': 46, 'CD': 2, 'DC': 1, 'DD': 4}","{'CC': 48, 'CD': 0, 'DC': 1, 'DD': 4}","{'CC': 48, 'CD': 1, 'DC': 3, 'DD': 1}","{'CC': 48, 'CD': 0, 'DC': 0, 'DD': 5}","{'CC': 48, 'CD': 2, 'DC': 3, 'DD': 0}","{'CC': 47, 'CD': 1, 'DC': 0, 'DD': 5}","{'CC': 50, 'CD': 0, 'DC': 1, 'DD': 2}","{'CC': 51, 'CD': 0, 'DC': 0, 'DD': 2}","{'CC': 49, 'CD': 2, 'DC': 2, 'DD': 0}","{'CC': 49, 'CD': 0, 'DC': 0, 'DD': 4}","{'CC': 48, 'CD': 0, 'DC': 1, 'DD': 4}"
1,"{'CC': 7, 'CD': 15, 'DC': 11, 'DD': 21}","{'CC': 8, 'CD': 7, 'DC': 5, 'DD': 34}","{'CC': 15, 'CD': 7, 'DC': 8, 'DD': 24}","{'CC': 22, 'CD': 3, 'DC': 3, 'DD': 26}","{'CC': 28, 'CD': 10, 'DC': 4, 'DD': 12}","{'CC': 30, 'CD': 2, 'DC': 3, 'DD': 19}","{'CC': 32, 'CD': 3, 'DC': 3, 'DD': 16}","{'CC': 33, 'CD': 6, 'DC': 1, 'DD': 14}","{'CC': 35, 'CD': 1, 'DC': 5, 'DD': 13}","{'CC': 36, 'CD': 1, 'DC': 4, 'DD': 13}","{'CC': 38, 'CD': 2, 'DC': 4, 'DD': 10}","{'CC': 40, 'CD': 0, 'DC': 3, 'DD': 11}","{'CC': 42, 'CD': 6, 'DC': 1, 'DD': 5}","{'CC': 43, 'CD': 3, 'DC': 1, 'DD': 7}","{'CC': 44, 'CD': 0, 'DC': 1, 'DD': 9}","{'CC': 46, 'CD': 0, 'DC': 4, 'DD': 4}","{'CC': 47, 'CD': 1, 'DC': 0, 'DD': 6}","{'CC': 48, 'CD': 2, 'DC': 1, 'DD': 3}","{'CC': 49, 'CD': 0, 'DC': 0, 'DD': 5}","{'CC': 50, 'CD': 1, 'DC': 1, 'DD': 2}"
2,"{'CC': 8, 'CD': 11, 'DC': 7, 'DD': 27}","{'CC': 9, 'CD': 6, 'DC': 7, 'DD': 31}","{'CC': 11, 'CD': 8, 'DC': 7, 'DD': 27}","{'CC': 15, 'CD': 7, 'DC': 9, 'DD': 22}","{'CC': 19, 'CD': 7, 'DC': 2, 'DD': 25}","{'CC': 22, 'CD': 5, 'DC': 9, 'DD': 17}","{'CC': 29, 'CD': 3, 'DC': 3, 'DD': 18}","{'CC': 32, 'CD': 6, 'DC': 5, 'DD': 10}","{'CC': 34, 'CD': 4, 'DC': 1, 'DD': 14}","{'CC': 37, 'CD': 1, 'DC': 4, 'DD': 11}","{'CC': 39, 'CD': 1, 'DC': 2, 'DD': 11}","{'CC': 40, 'CD': 4, 'DC': 1, 'DD': 8}","{'CC': 42, 'CD': 3, 'DC': 2, 'DD': 6}","{'CC': 43, 'CD': 1, 'DC': 1, 'DD': 8}","{'CC': 46, 'CD': 1, 'DC': 2, 'DD': 4}","{'CC': 46, 'CD': 0, 'DC': 2, 'DD': 5}","{'CC': 46, 'CD': 1, 'DC': 2, 'DD': 4}","{'CC': 46, 'CD': 2, 'DC': 1, 'DD': 4}","{'CC': 46, 'CD': 0, 'DC': 2, 'DD': 5}","{'CC': 46, 'CD': 1, 'DC': 3, 'DD': 3}"
3,"{'CC': 1, 'CD': 8, 'DC': 10, 'DD': 26}","{'CC': 4, 'CD': 8, 'DC': 7, 'DD': 26}","{'CC': 10, 'CD': 4, 'DC': 6, 'DD': 25}","{'CC': 14, 'CD': 7, 'DC': 1, 'DD': 23}","{'CC': 17, 'CD': 6, 'DC': 6, 'DD': 16}","{'CC': 19, 'CD': 7, 'DC': 1, 'DD': 18}","{'CC': 21, 'CD': 3, 'DC': 6, 'DD': 15}","{'CC': 22, 'CD': 5, 'DC': 4, 'DD': 14}","{'CC': 22, 'CD': 3, 'DC': 5, 'DD': 15}","{'CC': 26, 'CD': 4, 'DC': 2, 'DD': 13}","{'CC': 30, 'CD': 4, 'DC': 2, 'DD': 9}","{'CC': 30, 'CD': 3, 'DC': 5, 'DD': 7}","{'CC': 30, 'CD': 1, 'DC': 3, 'DD': 11}","{'CC': 30, 'CD': 5, 'DC': 0, 'DD': 10}","{'CC': 31, 'CD': 0, 'DC': 4, 'DD': 10}","{'CC': 31, 'CD': 3, 'DC': 2, 'DD': 9}","{'CC': 32, 'CD': 3, 'DC': 3, 'DD': 7}","{'CC': 32, 'CD': 2, 'DC': 2, 'DD': 9}","{'CC': 35, 'CD': 1, 'DC': 4, 'DD': 5}","{'CC': 35, 'CD': 0, 'DC': 3, 'DD': 7}"
4,"{'CC': 6, 'CD': 9, 'DC': 18, 'DD': 18}","{'CC': 10, 'CD': 2, 'DC': 6, 'DD': 33}","{'CC': 15, 'CD': 4, 'DC': 6, 'DD': 26}","{'CC': 19, 'CD': 6, 'DC': 5, 'DD': 21}","{'CC': 21, 'CD': 4, 'DC': 5, 'DD': 21}","{'CC': 26, 'CD': 4, 'DC': 8, 'DD': 13}","{'CC': 29, 'CD': 3, 'DC': 3, 'DD': 16}","{'CC': 36, 'CD': 4, 'DC': 3, 'DD': 8}","{'CC': 37, 'CD': 3, 'DC': 1, 'DD': 10}","{'CC': 40, 'CD': 3, 'DC': 3, 'DD': 5}","{'CC': 41, 'CD': 2, 'DC': 1, 'DD': 7}","{'CC': 44, 'CD': 2, 'DC': 1, 'DD': 4}","{'CC': 45, 'CD': 1, 'DC': 2, 'DD': 3}","{'CC': 46, 'CD': 0, 'DC': 0, 'DD': 5}","{'CC': 49, 'CD': 1, 'DC': 1, 'DD': 0}","{'CC': 49, 'CD': 0, 'DC': 0, 'DD': 2}","{'CC': 50, 'CD': 0, 'DC': 0, 'DD': 1}","{'CC': 50, 'CD': 0, 'DC': 0, 'DD': 1}","{'CC': 51, 'CD': 0, 'DC': 0, 'DD': 0}","{'CC': 51, 'CD': 0, 'DC': 0, 'DD': 0}"
5,"{'CC': 8, 'CD': 13, 'DC': 9, 'DD': 6}","{'CC': 10, 'CD': 0, 'DC': 2, 'DD': 24}","{'CC': 14, 'CD': 8, 'DC': 5, 'DD': 9}","{'CC': 14, 'CD': 3, 'DC': 1, 'DD': 18}","{'CC': 17, 'CD': 1, 'DC': 7, 'DD': 11}","{'CC': 21, 'CD': 2, 'DC': 1, 'DD': 12}","{'CC': 24, 'CD': 3, 'DC': 3, 'DD': 6}","{'CC': 27, 'CD': 0, 'DC': 1, 'DD': 8}","{'CC': 30, 'CD': 2, 'DC': 1, 'DD': 3}","{'CC': 31, 'CD': 0, 'DC': 0, 'DD': 5}","{'CC': 33, 'CD': 2, 'DC': 0, 'DD': 1}","{'CC': 33, 'CD': 0, 'DC': 1, 'DD': 2}","{'CC': 33, 'CD': 1, 'DC': 0, 'DD': 2}","{'CC': 34, 'CD': 0, 'DC': 1, 'DD': 1}","{'CC': 34, 'CD': 1, 'DC': 0, 'DD': 1}","{'CC': 33, 'CD': 1, 'DC': 0, 'DD': 2}","{'CC': 34, 'CD': 1, 'DC': 0, 'DD': 1}","{'CC': 35, 'CD': 0, 'DC': 0, 'DD': 1}","{'CC': 34, 'CD': 1, 'DC': 1, 'DD': 0}","{'CC': 34, 'CD': 0, 'DC': 0, 'DD': 2}"
6,"{'CC': 18, 'CD': 10, 'DC': 13, 'DD': 6}","{'CC': 21, 'CD': 1, 'DC': 1, 'DD': 24}","{'CC': 30, 'CD': 5, 'DC': 7, 'DD': 5}","{'CC': 32, 'CD': 2, 'DC': 0, 'DD': 13}","{'CC': 35, 'CD': 4, 'DC': 2, 'DD': 6}","{'CC': 38, 'CD': 0, 'DC': 2, 'DD': 7}","{'CC': 39, 'CD': 2, 'DC': 3, 'DD': 3}","{'CC': 40, 'CD': 1, 'DC': 0, 'DD': 6}","{'CC': 45, 'CD': 1, 'DC': 0, 'DD': 1}","{'CC': 46, 'CD': 0, 'DC': 0, 'DD': 1}","{'CC': 46, 'CD': 0, 'DC': 1, 'DD': 0}","{'CC': 46, 'CD': 0, 'DC': 0, 'DD': 1}","{'CC': 46, 'CD': 0, 'DC': 1, 'DD': 0}","{'CC': 46, 'CD': 0, 'DC': 0, 'DD': 1}","{'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}","{'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}","{'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}","{'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}","{'CC': 46, 'CD': 0, 'DC': 1, 'DD': 0}","{'CC': 46, 'CD': 0, 'DC': 0, 'DD': 1}"
7,"{'CC': 15, 'CD': 10, 'DC': 12, 'DD': 6}","{'CC': 17, 'CD': 2, 'DC': 1, 'DD': 23}","{'CC': 26, 'CD': 5, 'DC': 4, 'DD': 8}","{'CC': 30, 'CD': 1, 'DC': 2, 'DD': 10}","{'CC': 32, 'CD': 4, 'DC': 1, 'DD': 6}","{'CC': 35, 'CD': 0, 'DC': 2, 'DD': 6}","{'CC': 36, 'CD': 0, 'DC': 1, 'DD': 6}","{'CC': 38, 'CD': 2, 'DC': 1, 'DD': 2}","{'CC': 39, 'CD': 0, 'DC': 0, 'DD': 4}","{'CC': 38, 'CD': 2, 'DC': 1, 'DD': 2}","{'CC': 38, 'CD': 1, 'DC': 0, 'DD': 4}","{'CC': 40, 'CD': 1, 'DC': 0, 'DD': 2}","{'CC': 40, 'CD': 0, 'DC': 1, 'DD': 2}","{'CC': 39, 'CD': 0, 'DC': 1, 'DD': 3}","{'CC': 38, 'CD': 1, 'DC': 2, 'DD': 2}","{'CC': 38, 'CD': 0, 'DC': 2, 'DD': 3}","{'CC': 41, 'CD': 0, 'DC': 0, 'DD': 2}","{'CC': 41, 'CD': 1, 'DC': 0, 'DD': 1}","{'CC': 41, 'CD': 0, 'DC': 0, 'DD': 2}","{'CC': 41, 'CD': 0, 'DC': 1, 'DD': 1}"
8,"{'CC': 14, 'CD': 16, 'DC': 6, 'DD': 15}","{'CC': 15, 'CD': 4, 'DC': 7, 'DD': 25}","{'CC': 19, 'CD': 8, 'DC': 4, 'DD': 20}","{'CC': 26, 'CD': 5, 'DC': 4, 'DD': 16}","{'CC': 32, 'CD': 0, 'DC': 7, 'DD': 12}","{'CC': 34, 'CD': 5, 'DC': 4, 'DD': 8}","{'CC': 36, 'CD': 1, 'DC': 3, 'DD': 11}","{'CC': 38, 'CD': 5, 'DC': 1, 'DD': 7}","{'CC': 40, 'CD': 1, 'DC': 2, 'DD': 8}","{'CC': 41, 'CD': 2, 'DC': 2, 'DD': 6}","{'CC': 40, 'CD': 3, 'DC': 2, 'DD': 6}","{'CC': 41, 'CD': 2, 'DC': 0, 'DD': 8}","{'CC': 42, 'CD': 2, 'DC': 1, 'DD': 6}","{'CC': 44, 'CD': 0, 'DC': 4, 'DD': 3}","{'CC': 44, 'CD': 1, 'DC': 2, 'DD': 4}","{'CC': 45, 'CD': 0, 'DC': 1, 'DD': 5}","{'CC': 45, 'CD': 3, 'DC': 0, 'DD': 3}","{'CC': 45, 'CD': 0, 'DC': 1, 'DD': 5}","{'CC': 47, 'CD': 3, 'DC': 0, 'DD': 1}","{'CC': 47, 'CD': 1, 'DC': 0, 'DD': 3}"
9,"{'CC': 6, 'CD': 14, 'DC': 10, 'DD': 13}","{'CC': 11, 'CD': 1, 'DC': 3, 'DD': 28}","{'CC': 18, 'CD': 7, 'DC': 7, 'DD': 11}","{'CC': 21, 'CD': 3, 'DC': 1, 'DD': 18}","{'CC': 26, 'CD': 3, 'DC': 3, 'DD': 11}","{'CC': 27, 'CD': 3, 'DC': 6, 'DD': 7}","{'CC': 28, 'CD': 1, 'DC': 3, 'DD': 11}","{'CC': 30, 'CD': 2, 'DC': 2, 'DD': 9}","{'CC': 33, 'CD': 3, 'DC': 2, 'DD': 5}","{'CC': 33, 'CD': 1, 'DC': 4, 'DD': 5}","{'CC': 35, 'CD': 1, 'DC': 2, 'DD': 5}","{'CC': 35, 'CD': 2, 'DC': 1, 'DD': 5}","{'CC': 37, 'CD': 1, 'DC': 0, 'DD': 5}","{'CC': 37, 'CD': 0, 'DC': 2, 'DD': 4}","{'CC': 37, 'CD': 2, 'DC': 2, 'DD': 2}","{'CC': 37, 'CD': 0, 'DC': 1, 'DD': 5}","{'CC': 38, 'CD': 0, 'DC': 2, 'DD': 3}","{'CC': 38, 'CD': 1, 'DC': 2, 'DD': 2}","{'CC': 40, 'CD': 0, 'DC': 0, 'DD': 3}","{'CC': 41, 'CD': 0, 'DC': 1, 'DD': 1}"
