,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,247,198,253,254,258,260,282,294,294,299,301,310,298,313,297,309,310,314,302,301
1,214,176,213,214,262,243,254,261,266,267,278,277,297,292,287,304,299,309,304,314
2,192,181,195,214,209,236,240,267,257,269,271,281,289,284,299,296,299,299,296,302
3,148,151,160,170,194,190,201,205,202,212,228,234,222,225,226,229,236,230,245,239
4,207,166,192,211,213,242,236,267,262,280,275,287,291,286,304,298,302,302,306,306
5,170,118,167,140,164,165,186,183,201,196,210,207,207,211,211,207,211,212,214,208
6,235,184,250,228,252,252,265,257,277,278,281,278,281,278,282,282,282,282,281,278
7,212,163,217,215,229,232,233,247,242,247,241,249,249,245,247,244,250,253,250,253
8,224,195,214,233,251,265,258,272,271,278,277,272,279,290,287,285,291,285,299,293
9,182,142,200,182,208,221,210,218,233,233,235,235,237,240,246,237,244,247,246,253
0,227,190,253,221,274,250,275,272,290,284,287,290,287,287,289,301,308,305,306,309
1,209,139,195,167,207,193,209,205,211,225,227,230,254,236,233,240,248,247,254,263
2,215,166,206,221,210,221,252,229,242,265,259,276,269,292,295,292,293,296,297,297
3,179,136,174,158,177,198,184,219,212,224,220,231,226,252,244,251,251,260,270,264
4,192,157,198,182,208,209,226,236,245,257,255,262,259,257,268,274,277,274,278,281
5,162,135,173,158,190,180,188,189,196,193,197,203,206,206,203,210,204,215,212,212
6,225,176,249,214,252,257,271,272,274,289,287,295,295,296,300,300,299,296,295,295
7,293,230,299,297,307,324,325,335,335,327,349,330,336,338,331,343,349,344,354,346
8,225,205,234,234,230,244,244,268,262,275,285,290,288,290,288,293,299,290,296,297
9,243,182,233,215,248,249,272,269,276,291,279,288,296,284,293,295,298,304,306,305
0,204,156,206,195,212,204,215,223,221,235,231,244,238,245,246,240,246,246,244,251
1,181,155,197,179,199,201,202,224,221,222,216,220,226,229,229,225,239,236,240,243
2,199,179,197,200,206,218,226,231,229,252,238,243,268,250,253,263,277,276,274,286
3,187,158,192,191,198,214,208,228,214,225,244,239,249,249,256,254,258,257,255,255
4,205,169,215,197,238,218,240,250,257,261,250,274,275,279,288,288,297,295,303,301
5,266,185,261,238,277,253,291,288,292,305,298,314,302,314,318,318,318,318,318,317
6,267,244,289,287,307,306,321,323,330,324,331,331,332,332,335,332,335,332,335,331
7,233,166,235,208,247,234,249,262,266,268,281,269,279,279,279,275,272,280,285,286
8,158,147,173,172,197,196,197,209,220,211,224,217,220,216,235,219,226,230,223,230
9,216,192,211,223,225,240,251,259,258,266,257,258,267,276,271,281,274,277,271,278
