Round,C ratio per steps,Rewards,Aggregated C ratio,Number of connections,Pair actions
1,"[0.48, 0.41, 0.33, 0.55, 0.48, 0.59, 0.58, 0.65, 0.65, 0.72, 0.71, 0.75, 0.75, 0.75, 0.76, 0.81, 0.81, 0.85, 0.86, 0.89]","[225, 208, 176, 234, 205, 232, 227, 244, 240, 255, 252, 260, 260, 260, 262, 271, 273, 279, 282, 287]","[0.48, 0.45, 0.41, 0.44, 0.45, 0.47, 0.49, 0.51, 0.52, 0.54, 0.56, 0.57, 0.59, 0.6, 0.61, 0.62, 0.63, 0.65, 0.66, 0.67]",51,"[{'CC': 12, 'CD': 15, 'DC': 10, 'DD': 14}, {'CC': 10, 'CD': 9, 'DC': 13, 'DD': 19}, {'CC': 14, 'CD': 2, 'DC': 4, 'DD': 31}, {'CC': 18, 'CD': 8, 'DC': 12, 'DD': 13}, {'CC': 22, 'CD': 3, 'DC': 2, 'DD': 24}, {'CC': 25, 'CD': 5, 'DC': 5, 'DD': 16}, {'CC': 26, 'CD': 3, 'DC': 4, 'DD': 18}, {'CC': 28, 'CD': 4, 'DC': 6, 'DD': 13}, {'CC': 30, 'CD': 4, 'DC': 2, 'DD': 15}, {'CC': 33, 'CD': 2, 'DC': 5, 'DD': 11}, {'CC': 33, 'CD': 2, 'DC': 4, 'DD': 12}, {'CC': 35, 'CD': 1, 'DC': 5, 'DD': 10}, {'CC': 35, 'CD': 4, 'DC': 2, 'DD': 10}, {'CC': 35, 'CD': 3, 'DC': 3, 'DD': 10}, {'CC': 37, 'CD': 2, 'DC': 2, 'DD': 10}, {'CC': 40, 'CD': 1, 'DC': 2, 'DD': 8}, {'CC': 39, 'CD': 2, 'DC': 3, 'DD': 7}, {'CC': 42, 'CD': 0, 'DC': 3, 'DD': 6}, {'CC': 42, 'CD': 1, 'DC': 3, 'DD': 5}, {'CC': 44, 'CD': 0, 'DC': 3, 'DD': 4}]"
2,"[0.46, 0.48, 0.36, 0.43, 0.53, 0.6, 0.6, 0.72, 0.7, 0.77, 0.81, 0.82, 0.89, 0.86, 0.93, 0.9, 0.93, 0.92, 0.93, 0.94]","[240, 240, 193, 210, 229, 249, 243, 274, 264, 281, 288, 287, 304, 295, 312, 303, 312, 307, 310, 313]","[0.46, 0.47, 0.44, 0.43, 0.45, 0.48, 0.49, 0.52, 0.54, 0.57, 0.59, 0.61, 0.63, 0.65, 0.66, 0.68, 0.69, 0.71, 0.72, 0.73]",54,"[{'CC': 9, 'CD': 20, 'DC': 12, 'DD': 13}, {'CC': 12, 'CD': 8, 'DC': 20, 'DD': 14}, {'CC': 16, 'CD': 5, 'DC': 2, 'DD': 31}, {'CC': 18, 'CD': 5, 'DC': 5, 'DD': 26}, {'CC': 25, 'CD': 0, 'DC': 7, 'DD': 22}, {'CC': 27, 'CD': 7, 'DC': 4, 'DD': 16}, {'CC': 30, 'CD': 0, 'DC': 5, 'DD': 19}, {'CC': 34, 'CD': 7, 'DC': 3, 'DD': 10}, {'CC': 36, 'CD': 3, 'DC': 1, 'DD': 14}, {'CC': 38, 'CD': 3, 'DC': 4, 'DD': 9}, {'CC': 42, 'CD': 3, 'DC': 1, 'DD': 8}, {'CC': 44, 'CD': 0, 'DC': 1, 'DD': 9}, {'CC': 46, 'CD': 1, 'DC': 3, 'DD': 4}, {'CC': 46, 'CD': 1, 'DC': 0, 'DD': 7}, {'CC': 48, 'CD': 1, 'DC': 3, 'DD': 2}, {'CC': 48, 'CD': 1, 'DC': 0, 'DD': 5}, {'CC': 48, 'CD': 3, 'DC': 1, 'DD': 2}, {'CC': 49, 'CD': 1, 'DC': 0, 'DD': 4}, {'CC': 49, 'CD': 0, 'DC': 2, 'DD': 3}, {'CC': 49, 'CD': 1, 'DC': 2, 'DD': 2}]"
3,"[0.37, 0.5, 0.29, 0.46, 0.44, 0.5, 0.56, 0.57, 0.59, 0.63, 0.63, 0.72, 0.77, 0.77, 0.78, 0.84, 0.83, 0.82, 0.88, 0.85]","[190, 223, 158, 201, 193, 203, 215, 214, 222, 230, 230, 245, 255, 253, 252, 266, 263, 260, 274, 265]","[0.37, 0.43, 0.38, 0.4, 0.41, 0.43, 0.44, 0.46, 0.48, 0.49, 0.5, 0.52, 0.54, 0.56, 0.57, 0.59, 0.6, 0.61, 0.63, 0.64]",49,"[{'CC': 8, 'CD': 11, 'DC': 9, 'DD': 21}, {'CC': 11, 'CD': 17, 'DC': 10, 'DD': 11}, {'CC': 12, 'CD': 1, 'DC': 3, 'DD': 33}, {'CC': 16, 'CD': 7, 'DC': 6, 'DD': 20}, {'CC': 17, 'CD': 4, 'DC': 5, 'DD': 23}, {'CC': 21, 'CD': 4, 'DC': 3, 'DD': 21}, {'CC': 24, 'CD': 2, 'DC': 5, 'DD': 18}, {'CC': 26, 'CD': 1, 'DC': 3, 'DD': 19}, {'CC': 25, 'CD': 3, 'DC': 5, 'DD': 16}, {'CC': 27, 'CD': 5, 'DC': 3, 'DD': 14}, {'CC': 27, 'CD': 4, 'DC': 4, 'DD': 14}, {'CC': 33, 'CD': 2, 'DC': 3, 'DD': 11}, {'CC': 34, 'CD': 3, 'DC': 4, 'DD': 8}, {'CC': 35, 'CD': 4, 'DC': 1, 'DD': 9}, {'CC': 37, 'CD': 1, 'DC': 1, 'DD': 10}, {'CC': 39, 'CD': 2, 'DC': 2, 'DD': 6}, {'CC': 39, 'CD': 2, 'DC': 1, 'DD': 7}, {'CC': 39, 'CD': 2, 'DC': 0, 'DD': 8}, {'CC': 41, 'CD': 1, 'DC': 3, 'DD': 4}, {'CC': 41, 'CD': 1, 'DC': 0, 'DD': 7}]"
4,"[0.57, 0.39, 0.33, 0.53, 0.47, 0.51, 0.63, 0.64, 0.68, 0.68, 0.71, 0.78, 0.71, 0.82, 0.83, 0.84, 0.86, 0.86, 0.92, 0.92]","[281, 234, 203, 262, 238, 248, 280, 275, 286, 284, 290, 312, 288, 315, 318, 319, 323, 321, 336, 339]","[0.57, 0.48, 0.43, 0.45, 0.46, 0.47, 0.49, 0.51, 0.53, 0.54, 0.56, 0.58, 0.59, 0.6, 0.62, 0.63, 0.65, 0.66, 0.67, 0.68]",59,"[{'CC': 19, 'CD': 12, 'DC': 17, 'DD': 11}, {'CC': 11, 'CD': 13, 'DC': 11, 'DD': 24}, {'CC': 16, 'CD': 2, 'DC': 5, 'DD': 36}, {'CC': 21, 'CD': 8, 'DC': 12, 'DD': 18}, {'CC': 24, 'CD': 4, 'DC': 4, 'DD': 27}, {'CC': 25, 'CD': 3, 'DC': 7, 'DD': 24}, {'CC': 30, 'CD': 10, 'DC': 4, 'DD': 15}, {'CC': 34, 'CD': 3, 'DC': 4, 'DD': 18}, {'CC': 36, 'CD': 5, 'DC': 3, 'DD': 15}, {'CC': 37, 'CD': 2, 'DC': 4, 'DD': 16}, {'CC': 40, 'CD': 2, 'DC': 2, 'DD': 15}, {'CC': 41, 'CD': 6, 'DC': 4, 'DD': 8}, {'CC': 41, 'CD': 2, 'DC': 0, 'DD': 16}, {'CC': 47, 'CD': 1, 'DC': 2, 'DD': 9}, {'CC': 47, 'CD': 2, 'DC': 2, 'DD': 8}, {'CC': 48, 'CD': 1, 'DC': 2, 'DD': 8}, {'CC': 49, 'CD': 2, 'DC': 1, 'DD': 7}, {'CC': 50, 'CD': 1, 'DC': 0, 'DD': 8}, {'CC': 53, 'CD': 1, 'DC': 1, 'DD': 4}, {'CC': 53, 'CD': 0, 'DC': 3, 'DD': 3}]"
5,"[0.57, 0.4, 0.29, 0.48, 0.53, 0.52, 0.62, 0.55, 0.65, 0.66, 0.67, 0.7, 0.66, 0.68, 0.7, 0.7, 0.72, 0.8, 0.81, 0.8]","[224, 192, 155, 197, 204, 199, 222, 202, 225, 228, 225, 234, 222, 226, 232, 232, 234, 247, 252, 247]","[0.57, 0.49, 0.42, 0.44, 0.46, 0.47, 0.49, 0.5, 0.51, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63]",47,"[{'CC': 16, 'CD': 8, 'DC': 14, 'DD': 9}, {'CC': 8, 'CD': 16, 'DC': 6, 'DD': 17}, {'CC': 10, 'CD': 3, 'DC': 4, 'DD': 30}, {'CC': 16, 'CD': 7, 'DC': 6, 'DD': 18}, {'CC': 20, 'CD': 3, 'DC': 7, 'DD': 17}, {'CC': 21, 'CD': 2, 'DC': 5, 'DD': 19}, {'CC': 23, 'CD': 9, 'DC': 3, 'DD': 12}, {'CC': 24, 'CD': 2, 'DC': 2, 'DD': 19}, {'CC': 26, 'CD': 3, 'DC': 6, 'DD': 12}, {'CC': 26, 'CD': 6, 'DC': 4, 'DD': 11}, {'CC': 29, 'CD': 2, 'DC': 3, 'DD': 13}, {'CC': 29, 'CD': 4, 'DC': 4, 'DD': 10}, {'CC': 29, 'CD': 1, 'DC': 3, 'DD': 14}, {'CC': 30, 'CD': 1, 'DC': 3, 'DD': 13}, {'CC': 30, 'CD': 4, 'DC': 2, 'DD': 11}, {'CC': 30, 'CD': 6, 'DC': 0, 'DD': 11}, {'CC': 32, 'CD': 1, 'DC': 3, 'DD': 11}, {'CC': 36, 'CD': 0, 'DC': 3, 'DD': 8}, {'CC': 35, 'CD': 4, 'DC': 2, 'DD': 6}, {'CC': 36, 'CD': 1, 'DC': 2, 'DD': 8}]"
6,"[0.5, 0.44, 0.29, 0.46, 0.36, 0.35, 0.44, 0.39, 0.45, 0.5, 0.5, 0.56, 0.62, 0.65, 0.74, 0.72, 0.79, 0.74, 0.75, 0.78]","[172, 167, 131, 169, 149, 144, 163, 149, 162, 168, 166, 175, 186, 188, 205, 200, 211, 201, 202, 210]","[0.5, 0.47, 0.41, 0.42, 0.41, 0.4, 0.41, 0.4, 0.41, 0.42, 0.42, 0.44, 0.45, 0.47, 0.48, 0.5, 0.52, 0.53, 0.54, 0.55]",40,"[{'CC': 14, 'CD': 5, 'DC': 7, 'DD': 14}, {'CC': 9, 'CD': 9, 'DC': 8, 'DD': 14}, {'CC': 9, 'CD': 3, 'DC': 2, 'DD': 26}, {'CC': 11, 'CD': 10, 'DC': 5, 'DD': 14}, {'CC': 9, 'CD': 2, 'DC': 9, 'DD': 20}, {'CC': 10, 'CD': 6, 'DC': 2, 'DD': 22}, {'CC': 11, 'CD': 8, 'DC': 5, 'DD': 16}, {'CC': 12, 'CD': 4, 'DC': 3, 'DD': 21}, {'CC': 13, 'CD': 6, 'DC': 4, 'DD': 17}, {'CC': 16, 'CD': 5, 'DC': 3, 'DD': 16}, {'CC': 17, 'CD': 2, 'DC': 4, 'DD': 17}, {'CC': 20, 'CD': 3, 'DC': 2, 'DD': 15}, {'CC': 22, 'CD': 5, 'DC': 1, 'DD': 12}, {'CC': 24, 'CD': 2, 'DC': 2, 'DD': 12}, {'CC': 26, 'CD': 2, 'DC': 5, 'DD': 7}, {'CC': 27, 'CD': 2, 'DC': 2, 'DD': 9}, {'CC': 29, 'CD': 2, 'DC': 3, 'DD': 6}, {'CC': 28, 'CD': 1, 'DC': 2, 'DD': 9}, {'CC': 29, 'CD': 0, 'DC': 2, 'DD': 9}, {'CC': 28, 'CD': 3, 'DC': 3, 'DD': 6}]"
7,"[0.38, 0.44, 0.38, 0.44, 0.56, 0.55, 0.63, 0.6, 0.72, 0.68, 0.8, 0.71, 0.81, 0.76, 0.77, 0.79, 0.81, 0.83, 0.83, 0.82]","[217, 228, 201, 214, 243, 233, 254, 243, 274, 257, 292, 265, 291, 276, 279, 283, 285, 292, 294, 289]","[0.38, 0.41, 0.4, 0.41, 0.44, 0.46, 0.48, 0.5, 0.52, 0.54, 0.56, 0.57, 0.59, 0.6, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67]",54,"[{'CC': 7, 'CD': 15, 'DC': 12, 'DD': 20}, {'CC': 12, 'CD': 13, 'DC': 11, 'DD': 18}, {'CC': 15, 'CD': 8, 'DC': 3, 'DD': 28}, {'CC': 19, 'CD': 6, 'DC': 4, 'DD': 25}, {'CC': 24, 'CD': 6, 'DC': 7, 'DD': 17}, {'CC': 26, 'CD': 3, 'DC': 4, 'DD': 21}, {'CC': 29, 'CD': 5, 'DC': 5, 'DD': 15}, {'CC': 30, 'CD': 3, 'DC': 2, 'DD': 19}, {'CC': 34, 'CD': 4, 'DC': 6, 'DD': 10}, {'CC': 35, 'CD': 3, 'DC': 0, 'DD': 16}, {'CC': 37, 'CD': 6, 'DC': 6, 'DD': 5}, {'CC': 37, 'CD': 1, 'DC': 2, 'DD': 14}, {'CC': 39, 'CD': 7, 'DC': 2, 'DD': 6}, {'CC': 39, 'CD': 1, 'DC': 3, 'DD': 11}, {'CC': 39, 'CD': 3, 'DC': 2, 'DD': 10}, {'CC': 40, 'CD': 2, 'DC': 3, 'DD': 9}, {'CC': 42, 'CD': 1, 'DC': 2, 'DD': 9}, {'CC': 43, 'CD': 2, 'DC': 2, 'DD': 7}, {'CC': 42, 'CD': 4, 'DC': 2, 'DD': 6}, {'CC': 43, 'CD': 3, 'DC': 0, 'DD': 8}]"
8,"[0.45, 0.54, 0.38, 0.52, 0.51, 0.57, 0.61, 0.61, 0.56, 0.69, 0.6, 0.66, 0.64, 0.69, 0.65, 0.76, 0.71, 0.72, 0.76, 0.7]","[174, 185, 146, 174, 165, 180, 187, 185, 173, 201, 180, 195, 187, 197, 188, 209, 197, 200, 209, 194]","[0.45, 0.49, 0.45, 0.47, 0.48, 0.5, 0.51, 0.52, 0.53, 0.55, 0.55, 0.56, 0.57, 0.57, 0.58, 0.59, 0.6, 0.6, 0.61, 0.62]",40,"[{'CC': 7, 'CD': 13, 'DC': 9, 'DD': 11}, {'CC': 12, 'CD': 8, 'DC': 11, 'DD': 9}, {'CC': 12, 'CD': 4, 'DC': 2, 'DD': 22}, {'CC': 16, 'CD': 4, 'DC': 6, 'DD': 14}, {'CC': 19, 'CD': 1, 'DC': 2, 'DD': 18}, {'CC': 19, 'CD': 4, 'DC': 4, 'DD': 13}, {'CC': 20, 'CD': 5, 'DC': 4, 'DD': 11}, {'CC': 21, 'CD': 2, 'DC': 5, 'DD': 12}, {'CC': 21, 'CD': 2, 'DC': 1, 'DD': 16}, {'CC': 22, 'CD': 6, 'DC': 5, 'DD': 7}, {'CC': 22, 'CD': 2, 'DC': 2, 'DD': 14}, {'CC': 22, 'CD': 4, 'DC': 5, 'DD': 9}, {'CC': 23, 'CD': 3, 'DC': 2, 'DD': 12}, {'CC': 24, 'CD': 4, 'DC': 3, 'DD': 9}, {'CC': 24, 'CD': 1, 'DC': 3, 'DD': 12}, {'CC': 27, 'CD': 3, 'DC': 4, 'DD': 6}, {'CC': 27, 'CD': 1, 'DC': 2, 'DD': 10}, {'CC': 27, 'CD': 0, 'DC': 4, 'DD': 9}, {'CC': 27, 'CD': 3, 'DC': 4, 'DD': 6}, {'CC': 27, 'CD': 2, 'DC': 0, 'DD': 11}]"
9,"[0.36, 0.42, 0.33, 0.36, 0.39, 0.46, 0.44, 0.44, 0.51, 0.49, 0.57, 0.49, 0.56, 0.5, 0.58, 0.5, 0.61, 0.62, 0.6, 0.62]","[138, 148, 126, 132, 134, 145, 144, 144, 153, 147, 163, 143, 158, 146, 168, 148, 168, 169, 163, 167]","[0.36, 0.39, 0.37, 0.37, 0.37, 0.39, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.45, 0.46, 0.46, 0.47, 0.48, 0.49, 0.49]",36,"[{'CC': 6, 'CD': 5, 'DC': 9, 'DD': 16}, {'CC': 7, 'CD': 6, 'DC': 10, 'DD': 13}, {'CC': 9, 'CD': 3, 'DC': 3, 'DD': 21}, {'CC': 9, 'CD': 5, 'DC': 3, 'DD': 19}, {'CC': 11, 'CD': 1, 'DC': 5, 'DD': 19}, {'CC': 13, 'CD': 5, 'DC': 2, 'DD': 16}, {'CC': 12, 'CD': 3, 'DC': 5, 'DD': 16}, {'CC': 12, 'CD': 3, 'DC': 5, 'DD': 16}, {'CC': 15, 'CD': 5, 'DC': 2, 'DD': 14}, {'CC': 15, 'CD': 1, 'DC': 4, 'DD': 16}, {'CC': 16, 'CD': 6, 'DC': 3, 'DD': 11}, {'CC': 17, 'CD': 0, 'DC': 1, 'DD': 18}, {'CC': 17, 'CD': 3, 'DC': 3, 'DD': 13}, {'CC': 17, 'CD': 1, 'DC': 1, 'DD': 17}, {'CC': 15, 'CD': 7, 'DC': 5, 'DD': 9}, {'CC': 16, 'CD': 2, 'DC': 2, 'DD': 16}, {'CC': 18, 'CD': 3, 'DC': 5, 'DD': 10}, {'CC': 19, 'CD': 2, 'DC': 5, 'DD': 10}, {'CC': 19, 'CD': 1, 'DC': 4, 'DD': 12}, {'CC': 20, 'CD': 1, 'DC': 4, 'DD': 11}]"
10,"[0.38, 0.47, 0.34, 0.44, 0.4, 0.46, 0.44, 0.49, 0.47, 0.5, 0.54, 0.47, 0.56, 0.6, 0.63, 0.67, 0.64, 0.68, 0.66, 0.7]","[201, 222, 179, 205, 191, 207, 199, 214, 206, 211, 223, 202, 223, 231, 236, 246, 237, 247, 241, 249]","[0.38, 0.43, 0.4, 0.41, 0.41, 0.42, 0.42, 0.43, 0.43, 0.44, 0.45, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53]",51,"[{'CC': 9, 'CD': 9, 'DC': 12, 'DD': 21}, {'CC': 12, 'CD': 10, 'DC': 14, 'DD': 15}, {'CC': 14, 'CD': 3, 'DC': 4, 'DD': 30}, {'CC': 16, 'CD': 7, 'DC': 6, 'DD': 22}, {'CC': 17, 'CD': 1, 'DC': 6, 'DD': 27}, {'CC': 18, 'CD': 4, 'DC': 7, 'DD': 22}, {'CC': 19, 'CD': 4, 'DC': 3, 'DD': 25}, {'CC': 19, 'CD': 7, 'DC': 5, 'DD': 20}, {'CC': 20, 'CD': 4, 'DC': 4, 'DD': 23}, {'CC': 22, 'CD': 3, 'DC': 4, 'DD': 22}, {'CC': 22, 'CD': 4, 'DC': 7, 'DD': 18}, {'CC': 22, 'CD': 3, 'DC': 1, 'DD': 25}, {'CC': 25, 'CD': 5, 'DC': 2, 'DD': 19}, {'CC': 27, 'CD': 6, 'DC': 1, 'DD': 17}, {'CC': 29, 'CD': 2, 'DC': 4, 'DD': 16}, {'CC': 30, 'CD': 4, 'DC': 4, 'DD': 13}, {'CC': 30, 'CD': 2, 'DC': 3, 'DD': 16}, {'CC': 31, 'CD': 3, 'DC': 4, 'DD': 13}, {'CC': 31, 'CD': 2, 'DC': 3, 'DD': 15}, {'CC': 33, 'CD': 2, 'DC': 3, 'DD': 13}]"
