Round,C ratio per steps,Rewards,Aggregated C ratio,Number of connections,Pair actions
1,"[0.5, 0.49, 0.52, 0.82, 0.79, 0.89, 0.87, 0.97, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[271, 260, 245, 323, 307, 335, 325, 349, 350, 354, 354, 354, 354, 354, 354, 354, 354, 354, 354, 354]","[0.5, 0.5, 0.5, 0.58, 0.62, 0.67, 0.7, 0.73, 0.76, 0.78, 0.8, 0.82, 0.83, 0.85, 0.86, 0.86, 0.87, 0.88, 0.89, 0.89]",59,"[{'CC': 12, 'CD': 18, 'DC': 17, 'DD': 12}, {'CC': 16, 'CD': 14, 'DC': 12, 'DD': 17}, {'CC': 28, 'CD': 3, 'DC': 2, 'DD': 26}, {'CC': 43, 'CD': 8, 'DC': 3, 'DD': 5}, {'CC': 45, 'CD': 2, 'DC': 1, 'DD': 11}, {'CC': 49, 'CD': 5, 'DC': 2, 'DD': 3}, {'CC': 51, 'CD': 1, 'DC': 0, 'DD': 7}, {'CC': 57, 'CD': 1, 'DC': 0, 'DD': 1}, {'CC': 58, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 59, 'CD': 0, 'DC': 0, 'DD': 0}]"
2,"[0.47, 0.4, 0.56, 0.8, 0.89, 0.91, 0.99, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[194, 176, 196, 238, 254, 254, 269, 266, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270]","[0.47, 0.43, 0.47, 0.56, 0.62, 0.67, 0.72, 0.75, 0.78, 0.8, 0.82, 0.83, 0.85, 0.86, 0.87, 0.87, 0.88, 0.89, 0.89, 0.9]",45,"[{'CC': 11, 'CD': 14, 'DC': 6, 'DD': 14}, {'CC': 11, 'CD': 8, 'DC': 6, 'DD': 20}, {'CC': 22, 'CD': 5, 'DC': 1, 'DD': 17}, {'CC': 34, 'CD': 3, 'DC': 1, 'DD': 7}, {'CC': 38, 'CD': 2, 'DC': 2, 'DD': 3}, {'CC': 41, 'CD': 0, 'DC': 0, 'DD': 4}, {'CC': 44, 'CD': 1, 'DC': 0, 'DD': 0}, {'CC': 44, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 0}]"
3,"[0.5, 0.44, 0.32, 0.74, 0.79, 0.87, 0.92, 0.96, 0.99, 0.98, 1.0, 0.99, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[218, 218, 170, 256, 263, 277, 286, 292, 299, 296, 300, 299, 296, 300, 300, 300, 300, 300, 300, 300]","[0.5, 0.47, 0.42, 0.5, 0.56, 0.61, 0.65, 0.69, 0.73, 0.75, 0.77, 0.79, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.87]",50,"[{'CC': 16, 'CD': 7, 'DC': 11, 'DD': 16}, {'CC': 7, 'CD': 16, 'DC': 14, 'DD': 13}, {'CC': 13, 'CD': 1, 'DC': 5, 'DD': 31}, {'CC': 33, 'CD': 3, 'DC': 5, 'DD': 9}, {'CC': 37, 'CD': 1, 'DC': 4, 'DD': 8}, {'CC': 42, 'CD': 2, 'DC': 1, 'DD': 5}, {'CC': 45, 'CD': 1, 'DC': 1, 'DD': 3}, {'CC': 48, 'CD': 0, 'DC': 0, 'DD': 2}, {'CC': 49, 'CD': 0, 'DC': 1, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 1, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}]"
4,"[0.46, 0.47, 0.34, 0.74, 0.68, 0.83, 0.84, 0.91, 0.96, 0.98, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[209, 208, 164, 246, 224, 256, 255, 268, 274, 280, 274, 282, 282, 282, 282, 282, 282, 282, 282, 282]","[0.46, 0.46, 0.42, 0.5, 0.54, 0.59, 0.62, 0.66, 0.69, 0.72, 0.74, 0.76, 0.78, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86]",47,"[{'CC': 7, 'CD': 15, 'DC': 14, 'DD': 11}, {'CC': 9, 'CD': 9, 'DC': 17, 'DD': 12}, {'CC': 13, 'CD': 2, 'DC': 4, 'DD': 28}, {'CC': 29, 'CD': 7, 'DC': 5, 'DD': 6}, {'CC': 31, 'CD': 1, 'DC': 1, 'DD': 14}, {'CC': 36, 'CD': 2, 'DC': 4, 'DD': 5}, {'CC': 38, 'CD': 0, 'DC': 3, 'DD': 6}, {'CC': 42, 'CD': 1, 'DC': 1, 'DD': 3}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 2}, {'CC': 45, 'CD': 1, 'DC': 1, 'DD': 0}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 2}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}]"
5,"[0.47, 0.44, 0.53, 0.81, 0.84, 0.95, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[210, 203, 208, 263, 264, 285, 290, 294, 294, 294, 294, 294, 294, 294, 294, 294, 294, 294, 294, 294]","[0.47, 0.45, 0.48, 0.56, 0.62, 0.67, 0.72, 0.75, 0.78, 0.8, 0.82, 0.83, 0.85, 0.86, 0.87, 0.87, 0.88, 0.89, 0.89, 0.9, 0.9]",49,"[{'CC': 13, 'CD': 9, 'DC': 11, 'DD': 16}, {'CC': 12, 'CD': 9, 'DC': 10, 'DD': 18}, {'CC': 23, 'CD': 3, 'DC': 3, 'DD': 20}, {'CC': 36, 'CD': 3, 'DC': 4, 'DD': 6}, {'CC': 40, 'CD': 1, 'DC': 1, 'DD': 7}, {'CC': 46, 'CD': 1, 'DC': 0, 'DD': 2}, {'CC': 48, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 49, 'CD': 0, 'DC': 0, 'DD': 0}]"
6,"[0.48, 0.46, 0.35, 0.74, 0.68, 0.89, 0.91, 0.98, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[226, 220, 173, 262, 238, 283, 283, 298, 292, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]","[0.48, 0.47, 0.43, 0.51, 0.54, 0.6, 0.64, 0.69, 0.72, 0.74, 0.77, 0.79, 0.8, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.87]",50,"[{'CC': 9, 'CD': 12, 'DC': 18, 'DD': 11}, {'CC': 9, 'CD': 12, 'DC': 16, 'DD': 13}, {'CC': 16, 'CD': 1, 'DC': 2, 'DD': 31}, {'CC': 30, 'CD': 6, 'DC': 8, 'DD': 6}, {'CC': 33, 'CD': 2, 'DC': 0, 'DD': 15}, {'CC': 42, 'CD': 1, 'DC': 4, 'DD': 3}, {'CC': 45, 'CD': 1, 'DC': 0, 'DD': 4}, {'CC': 48, 'CD': 1, 'DC': 1, 'DD': 0}, {'CC': 48, 'CD': 0, 'DC': 0, 'DD': 2}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 50, 'CD': 0, 'DC': 0, 'DD': 0}]"
7,"[0.51, 0.42, 0.38, 0.73, 0.69, 0.87, 0.88, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[194, 182, 157, 223, 207, 241, 238, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258]","[0.51, 0.47, 0.44, 0.51, 0.55, 0.6, 0.64, 0.69, 0.72, 0.75, 0.77, 0.79, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.87]",43,"[{'CC': 12, 'CD': 9, 'DC': 11, 'DD': 11}, {'CC': 6, 'CD': 16, 'DC': 8, 'DD': 13}, {'CC': 14, 'CD': 2, 'DC': 3, 'DD': 24}, {'CC': 26, 'CD': 6, 'DC': 5, 'DD': 6}, {'CC': 28, 'CD': 2, 'DC': 1, 'DD': 12}, {'CC': 35, 'CD': 4, 'DC': 1, 'DD': 3}, {'CC': 38, 'CD': 0, 'DC': 0, 'DD': 5}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 43, 'CD': 0, 'DC': 0, 'DD': 0}]"
8,"[0.55, 0.48, 0.49, 0.85, 0.82, 0.96, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[196, 184, 169, 233, 223, 247, 248, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252]","[0.55, 0.51, 0.5, 0.59, 0.64, 0.69, 0.73, 0.76, 0.79, 0.81, 0.83, 0.84, 0.86, 0.87, 0.87, 0.88, 0.89, 0.9, 0.9, 0.91]",42,"[{'CC': 13, 'CD': 11, 'DC': 9, 'DD': 9}, {'CC': 10, 'CD': 11, 'DC': 9, 'DD': 12}, {'CC': 19, 'CD': 1, 'DC': 2, 'DD': 20}, {'CC': 32, 'CD': 3, 'DC': 4, 'DD': 3}, {'CC': 34, 'CD': 0, 'DC': 1, 'DD': 7}, {'CC': 40, 'CD': 1, 'DC': 0, 'DD': 1}, {'CC': 41, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}]"
9,"[0.39, 0.43, 0.29, 0.54, 0.67, 0.78, 0.89, 0.9, 0.96, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[191, 198, 159, 207, 227, 243, 266, 265, 276, 274, 282, 282, 282, 282, 282, 282, 282, 282, 282, 282]","[0.39, 0.41, 0.37, 0.41, 0.46, 0.52, 0.57, 0.61, 0.65, 0.68, 0.71, 0.73, 0.75, 0.77, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84]",47,"[{'CC': 7, 'CD': 15, 'DC': 8, 'DD': 17}, {'CC': 8, 'CD': 13, 'DC': 11, 'DD': 15}, {'CC': 8, 'CD': 6, 'DC': 5, 'DD': 28}, {'CC': 20, 'CD': 7, 'DC': 4, 'DD': 16}, {'CC': 28, 'CD': 4, 'DC': 3, 'DD': 12}, {'CC': 35, 'CD': 1, 'DC': 2, 'DD': 9}, {'CC': 40, 'CD': 3, 'DC': 1, 'DD': 3}, {'CC': 42, 'CD': 1, 'DC': 0, 'DD': 4}, {'CC': 44, 'CD': 1, 'DC': 1, 'DD': 1}, {'CC': 45, 'CD': 0, 'DC': 0, 'DD': 2}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 47, 'CD': 0, 'DC': 0, 'DD': 0}]"
10,"[0.43, 0.43, 0.38, 0.75, 0.85, 0.93, 0.99, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[178, 178, 154, 215, 229, 240, 251, 248, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252]","[0.43, 0.43, 0.41, 0.5, 0.57, 0.63, 0.68, 0.72, 0.75, 0.77, 0.79, 0.81, 0.83, 0.84, 0.85, 0.86, 0.87, 0.87, 0.88, 0.89]",42,"[{'CC': 7, 'CD': 14, 'DC': 8, 'DD': 13}, {'CC': 7, 'CD': 8, 'DC': 14, 'DD': 13}, {'CC': 13, 'CD': 3, 'DC': 3, 'DD': 23}, {'CC': 29, 'CD': 2, 'DC': 3, 'DD': 8}, {'CC': 34, 'CD': 2, 'DC': 1, 'DD': 5}, {'CC': 39, 'CD': 0, 'DC': 0, 'DD': 3}, {'CC': 41, 'CD': 0, 'DC': 1, 'DD': 0}, {'CC': 41, 'CD': 0, 'DC': 0, 'DD': 1}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}, {'CC': 42, 'CD': 0, 'DC': 0, 'DD': 0}]"
